rows,N,c_mean,itt,firststage,late,p_val
all=1,74922,33.813873,0.69098037,0.27112934,2.5485265,0.072743133
r2,,47.308128,0.38495329,0.0033015613,1.4202359,
r2,,,,,,
r2,,,,,,
all=1,74922,32.789211,0.57733023,0.27112934,2.1293535,0.13041447
r2,,46.945049,0.38164511,0.0033015613,1.4078654,
r2,,,,,,
r2,,,,,,
all=1,74922,32.789211,0.60851616,0.27112934,2.2444527,0.045627009
r2,,46.945049,0.30444038,0.0033015613,1.1228846,
r2,,,,,,
r2,,,,,,
male=0,41249,37.170044,0.1061666,0.26387551,0.40233597,0.83110452
r2,,48.326859,0.49776393,0.004388459,1.8863752,
male=1,33673,29.592909,1.5102073,0.28063804,5.3813348,0.0038902946
r4,,45.647072,0.5230884,0.0044549042,1.8640382,
old=0,54814,30.368725,0.56244177,0.2627826,2.140331,0.19652231
r6,,45.985622,0.43552744,0.0038661021,1.6572145,
old=1,20108,43.054306,1.11949,0.29399493,3.8078547,0.14236465
r8,,49.517246,0.76188225,0.0061661759,2.5956004,
english=0,6440,7.0210347,0.29648295,0.18886997,1.5697728,0.67422712
r10,,25.553751,0.70546925,0.011017292,3.7344103,
english=1,68482,36.08131,0.64493573,0.27897376,2.311815,0.11288011
r12,,48.02422,0.40666148,0.0034566016,1.4582092,
dem_08=0,26723,32.433792,0.22007747,0.27911726,0.78847677,0.73316544
r14,,46.814167,0.64556414,0.0055704974,2.3128061,
dem_08=1,48199,34.565449,0.94954234,0.26666337,3.5608277,0.047512446
r16,,47.558933,0.47889802,0.004098766,1.796852,
