rows,c_mean2,tc_diff2,pval2,c_mean3,tc_diff3,pval3,c_mean4,tc_diff4,pval4
birthyear_list,1967.998,.16193379,.10373552,1967.9834,.17886826,.090535678,1968.0743,-.073438726,.82638532
se,12.254901,.099527255,,12.251108,.10567626,,12.179928,.33481503,
female_list,.5570662,-.0068793972,.039066728,.55856365,-.0088223303,.011058696,.55313498,.007138384,.35600573
se,.49673828,.0033338098,,.49656481,.0034721049,,.49717852,.0077337879,
english_list,.92197478,.0024194575,.34638703,.92116064,.0036406291,.19761077,.92860878,-.014082321,.2925483
se,.2682142,.0025694433,,.26949129,.0028256921,,.25748238,.013379108,
self_list,.91798264,.00030426285,.27330041,.91813546,.00041107056,.1630329,.91959113,.0011184661,.09389542
se,.27439424,.00027773812,,.2741617,.0002946826,,.27193055,.00066764752,
first_day_list,.092707597,.0012117098,.62654775,.092245474,.001225911,.64686495,.11451001,-.030537577,.055190664
se,.29002544,.0024901868,,.28937587,.0026759366,,.318436,.015926359,
have_phone_list,.86160398,-.0029295031,.29980028,.86125368,-.0024322316,.41950482,.86936843,-.0060406374,.42436856
se,.345319,.0028253333,,.34568605,.0030128493,,.33700362,.0075614513,
pobox_list,.11663857,.00043894839,.87261283,.11633602,.00092480279,.75529146,.11812407,.00013121305,.99135309
se,.32099268,.0027375908,,.32063153,.0029672382,,.32276136,.012107282,
zip_hh_inc_list,39265.398,44.890526,.53796792,39273.504,14.236121,.85548717,39178.477,4.8661637,.98856276
se,8463.542,72.886993,,8452.2852,78.167809,,8531.3877,339.45959,
prevote,.22507097,-.00047259146,.88949949,.22543405,-.00098678854,.78734875,.24491678,-.02593172,.08855819
se,.41763368,.0034014527,,.4178732,.0036580758,,.43004638,.015226268,
listvar_f,,,1.3221101,,,1.71785,,,1.31619
listvar_p,,,.22687,,,.088739999,,,.22984
prelot_f,,,,,,,,,
prelot_p,,,,,,,,,
joint_f,,,1.17532,,,1.52983,,,1.37914
pval,,,.30577999,,,.13083,,,.19109
pval,,,,,,,,,
pval,,,,,,,,,
