rows,c1,c2,c3,c4,c5,c6,c7,c8,c9
full_sample_all,.99980545,.3748399,0,1,1,1.3948824,3.8522005,74922,.093924351
full_sample_controls,.99986613,.4488737,0,1,1.25955,1.4888208,3.8522005,45088,.13287349
full_sample_treatments,.99971378,.21987678,0,1,1,1.25955,2.7083256,29834,.03506067
non_zero_weights_all,1.1034459,.20175901,1,1,1.1116726,1.3948824,3.8522005,67885,
non_zero_weights_controls,1.1530799,.23598936,1,1,1.3948824,1.5483176,3.8522005,39097,
non_zero_weights_treatments,1.0360379,.11165993,1,1,1,1.25955,2.7083256,28788,
full_sample_all,.99361837,3.1726904,0,1,1,1,190.01897,74922,.34909639
full_sample_controls,.99044842,3.5679021,0,1,1,1.1676842,190.01897,45088,.44071594
full_sample_treatments,.99840909,2.457679,0,1,1,1,139.35977,29834,.21063216
non_zero_weights_all,1.5265214,3.8276896,1,1,1,3.3047464,190.01897,48767,
non_zero_weights_controls,1.7709219,4.623775,1,1,1,9.4980135,190.01897,25217,
non_zero_weights_treatments,1.2648211,2.7046292,1,1,1,1,139.35977,23550,
