rows,N,c_mean,itt,firststage,late,p_val
all=1,74922,33.813873,.69098037,.27112934,2.5485265,.072743133
r2,,47.308128,.38495329,.0033015613,1.4202359,
r2,,,,,,
r2,,,,,,
all=1,74922,32.789211,.57733023,.27112934,2.1293535,.13041447
r2,,46.945049,.38164511,.0033015613,1.4078654,
male=0,41249,35.657124,-.084511518,.26387551,-.32027042,.8638857
r4,,47.899616,.4930166,.004388459,1.8682287,
male=1,33673,29.182314,1.4717628,.28063804,5.2443452,.0047239112
r6,,45.461273,.52090234,.0044549042,1.8562205,
old=0,54814,29.309137,.42298967,.2627826,1.6096562,.3254289
r8,,45.518692,.43019783,.0038661021,1.6368895,
old=1,20108,42.123314,1.0775427,.29399493,3.6651742,.1568172
r10,,49.377697,.76003081,.0061661759,2.5886602,
english=0,6440,6.8789086,.46822643,.18886997,2.479094,.50302613
r12,,25.31311,.69921392,.011017292,3.7015994,
english=1,68482,34.981956,.50624055,.27897376,1.8146528,.20980424
r14,,47.691856,.40358397,.0034566016,1.4469717,
dem_08=0,26723,31.314085,.057184938,.27911726,.20487784,.92870891
r16,,46.378571,.63920039,.0055704974,2.2899218,
dem_08=1,48199,33.592545,.86351728,.26666337,3.2382298,.069218464
r18,,47.232105,.47507676,.004098766,1.7821934,
r18,,,,,,
r18,,,,,,
all=1,74922,32.789211,.60851616,.27112934,2.2444527,.045627009
r2,,46.945049,.30444038,.0033015613,1.1228846,
male=0,41249,35.657124,.1268068,.26387551,.48078606,.75216508
r4,,47.899616,.40160328,.004388459,1.5225066,
male=1,33673,29.182314,1.2439086,.28063804,4.4324923,.0030962108
r6,,45.461273,.42038146,.0044549042,1.4984655,
old=0,54814,29.309137,.57314456,.2627826,2.1812093,.10920011
r8,,45.518692,.3578659,.0038661021,1.3617249,
old=1,20108,42.123314,.68652606,.29399493,2.3335338,.22282958
r10,,49.377697,.56308264,.0061661759,1.9142412,
english=0,6440,6.8789086,.18634471,.18886997,.98667896,.75026023
r12,,25.31311,.58572251,.011017292,3.0998759,
english=1,68482,34.981956,.6015256,.27897376,2.1564703,.064996935
r14,,47.691856,.32596624,.0034566016,1.1686417,
dem_08=0,26723,31.314085,.12981181,.27911726,.46511143,.79594427
r16,,46.378571,.50204653,.0055704974,1.7985783,
dem_08=1,48199,33.592545,.8678984,.26666337,3.2546761,.023185076
r18,,47.232105,.38223112,.004098766,1.4335437,
r18,,,,,,
r18,,,,,,
